iter	Passed	Remaining
399	26968	26968
400	27034	26899
401	27101	26831
402	27169	26765
403	27232	26693
404	27298	26624
405	27362	26553
406	27427	26484
407	27492	26414
408	27563	26350
409	27635	26287
410	27704	26221
411	27772	26154
412	27838	26085
413	27904	26016
414	27969	25947
415	28031	25874
416	28096	25805
417	28160	25735
418	28225	25665
419	28297	25602
420	28362	25532
421	28428	25464
422	28493	25394
423	28558	25325
424	28625	25257
425	28696	25194
426	28763	25126
427	28830	25057
428	28895	24989
429	28963	24922
430	29028	24852
431	29092	24782
432	29127	24687
433	29190	24617
434	29255	24547
435	29321	24479
436	29394	24417
437	29459	24347
438	29551	24300
439	29619	24233
440	29687	24167
441	29756	24101
442	29823	24033
443	29887	23964
444	29957	23898
445	30021	23828
446	30086	23759
447	30150	23689
448	30216	23621
449	30282	23552
450	30347	23484
451	30414	23416
452	30481	23348
453	30546	23279
454	30616	23214
455	30682	23146
456	30745	23076
457	30808	23005
458	30886	22945
459	30958	22882
460	30978	22780
461	31048	22715
462	31117	22649
463	31188	22584
464	31261	22521
465	31334	22458
466	31400	22390
467	31468	22323
468	31536	22257
469	31607	22192
470	31678	22127
471	31745	22060
472	31815	21995
473	31888	21931
474	31963	21870
475	32029	21801
476	32097	21734
477	32163	21666
478	32230	21599
479	32268	21512
480	32335	21445
481	32403	21378
482	32439	21290
483	32508	21224
484	32529	21127
485	32598	21061
486	32668	20996
487	32735	20929
488	32803	20862
489	32868	20794
490	32932	20725
491	32997	20656
492	33060	20587
493	33123	20517
494	33186	20447
495	33256	20383
496	33291	20296
497	33354	20226
498	33429	20164
499	33499	20099
500	33568	20033
501	33633	19965
502	33700	19898
503	33771	19833
504	33838	19767
505	33912	19704
506	33993	19645
507	34068	19582
508	34155	19527
509	34227	19462
510	34295	19396
511	34363	19329
512	34430	19262
513	34497	19194
514	34564	19127
515	34631	19060
516	34700	18994
517	34766	18927
518	34831	18858
519	34891	18787
520	34957	18719
521	35020	18650
522	35084	18582
523	35145	18511
524	35208	18442
525	35273	18374
526	35340	18307
527	35406	18239
528	35469	18170
529	35532	18101
530	35593	18031
531	35656	17962
532	35722	17894
533	35819	17842
534	35904	17784
535	35940	17702
536	36020	17641
537	36082	17571
538	36115	17488
539	36180	17420
540	36246	17352
541	36310	17284
542	36373	17215
543	36440	17148
544	36506	17081
545	36572	17013
546	36637	16945
547	36706	16879
548	36772	16812
549	36836	16743
550	36899	16675
551	36966	16608
552	37032	16540
553	37098	16473
554	37165	16406
555	37233	16339
556	37298	16272
557	37364	16204
558	37430	16137
559	37505	16073
560	37578	16009
561	37649	15944
562	37715	15876
563	37779	15808
564	37843	15740
565	37910	15673
566	37984	15609
567	38053	15543
568	38119	15475
569	38184	15407
570	38249	15339
571	38313	15271
572	38379	15204
573	38446	15137
574	38511	15069
575	38578	15002
576	38647	14936
577	38714	14869
578	38780	14802
579	38845	14734
580	38914	14668
581	38981	14601
582	39016	14522
583	39080	14454
584	39150	14388
585	39218	14322
586	39285	14255
587	39350	14187
588	39418	14121
589	39486	14054
590	39498	13967
591	39564	13901
592	39628	13833
593	39696	13766
594	39763	13700
595	39829	13633
596	39897	13566
597	39966	13500
598	40034	13433
599	40101	13367
600	40167	13300
601	40234	13233
602	40296	13164
603	40361	13097
604	40429	13030
605	40496	12964
606	40561	12896
607	40625	12829
608	40690	12761
609	40756	12694
610	40822	12627
611	40887	12560
612	40978	12500
613	41057	12437
614	41124	12370
615	41190	12303
616	41259	12237
617	41327	12170
618	41398	12105
619	41473	12040
620	41542	11974
621	41610	11907
