iter	MultiClass
193	0.4661280262
194	0.4638432072
195	0.4612689076
196	0.4584482156
197	0.4557696205
198	0.4536344905
199	0.4510911012
200	0.4484836524
201	0.4455972905
202	0.4435100709
203	0.441667557
204	0.4400142147
205	0.4372408654
206	0.4347486475
207	0.4325899727
208	0.4302122035
209	0.4284315366
210	0.42628685
211	0.4241624465
212	0.4220308651
213	0.4194966761
214	0.4176648769
215	0.4157191249
216	0.4140530935
217	0.4120676824
218	0.409882307
219	0.4074151919
220	0.4053550186
221	0.4034207905
222	0.4013974635
223	0.3991732543
224	0.3969692723
225	0.3948433983
226	0.3926331342
227	0.3904514444
228	0.3886754575
229	0.3867826261
230	0.384701808
231	0.3831035021
232	0.3809598871
233	0.3790045479
234	0.377200507
235	0.3754439031
236	0.3737051417
237	0.3719188072
238	0.3700895297
239	0.3684194662
240	0.3662642138
241	0.3644018138
242	0.3623522026
243	0.3604681102
244	0.3584185127
245	0.3569990245
246	0.3550832918
247	0.3531725469
248	0.3515175016
249	0.349698581
250	0.3483560995
251	0.3465566705
252	0.3454258946
253	0.3436170237
254	0.3419798304
255	0.3404482516
256	0.3389154785
257	0.3370865805
258	0.3357135274
259	0.3342145532
260	0.332818616
261	0.3314688958
262	0.3302139309
263	0.3283186937
264	0.3272238614
265	0.3257729415
266	0.3242050521
267	0.3226976991
268	0.3213590391
269	0.3196494917
270	0.3180900973
271	0.3167391663
272	0.3154042874
273	0.3138647783
274	0.3123685175
275	0.3110414309
276	0.309628785
277	0.3081553861
278	0.3067769993
279	0.3052514367
280	0.3041265448
281	0.3026504705
282	0.3016294244
283	0.3003831601
284	0.2992315809
285	0.2978213266
286	0.2964623824
287	0.29510178
288	0.293558974
289	0.2922900128
290	0.2911406442
291	0.2898391323
292	0.2887822566
293	0.2877360023
294	0.2866508613
295	0.2853467263
296	0.2841323269
297	0.283041445
298	0.2816250865
299	0.2802644075
300	0.2790823338
301	0.2778869836
302	0.2766125652
303	0.2751845047
304	0.2740252961
305	0.272737458
306	0.2717488129
307	0.2706155275
308	0.2697316781
309	0.2688282693
310	0.267647116
311	0.2664548784
312	0.2653896892
313	0.2643538665
314	0.2631241594
315	0.2621515669
316	0.2611711161
317	0.2601496198
318	0.2590374533
319	0.2581225662
320	0.2568498216
321	0.2554842102
322	0.2541935321
323	0.2532154817
324	0.2522992901
325	0.2512811154
326	0.2504274701
327	0.2493568329
328	0.2483677466
329	0.247485
330	0.2466761471
331	0.2458172577
332	0.2447135541
333	0.2436638678
334	0.2426617763
335	0.2417190125
336	0.240703805
337	0.2398282893
338	0.23895816
339	0.2379641352
340	0.2370859101
341	0.236239983
342	0.2353280903
343	0.2343323446
344	0.2333970489
345	0.2324688241
346	0.2316226863
347	0.2307175938
348	0.2298470451
349	0.2289125854
350	0.2281290988
351	0.2272976545
352	0.2264909214
353	0.2256175084
354	0.2247452191
355	0.2237937498
356	0.2229620769
357	0.2220806228
358	0.2214053976
359	0.2205913201
360	0.2198121482
361	0.2191060956
362	0.2184544622
363	0.2176106053
364	0.2166318903
365	0.2157544041
366	0.2150138689
367	0.2141898229
368	0.2132860092
369	0.2124366194
370	0.2116246156
371	0.2107848268
372	0.2100229015
373	0.2092367519
374	0.2084515601
375	0.2075195674
376	0.2068060356
377	0.2060607405
378	0.2053226164
379	0.2045546335
380	0.2036781658
381	0.2029524408
382	0.2022533596
383	0.2015579466
384	0.2009023298
385	0.2002163352
386	0.199578562
387	0.198823726
388	0.1979415853
389	0.1972069149
390	0.196469657
391	0.1957991858
392	0.1950108892
393	0.1942020781
394	0.1934172695
395	0.1927268118
396	0.1919748353
397	0.1912010053
398	0.190517485
399	0.1898456111
400	0.1892179096
401	0.1886892397
402	0.1881384279
403	0.1873868956
404	0.1867832434
405	0.1860628769
406	0.1852701382
407	0.1846533922
408	0.1841226586
409	0.183588519
410	0.1829404545
411	0.1823161076
412	0.1816133846
413	0.1809029167
414	0.1803712651
415	0.179551504
416	0.1789462929
417	0.1782416957
418	0.1774384488
419	0.176886754
420	0.1762141153
421	0.1756832492
422	0.1751868956
423	0.1744300336
424	0.1737923713
425	0.1731949389
426	0.1725395021
427	0.1719488916
428	0.1712834593
429	0.1706560158
430	0.1699453304
431	0.1693880765
432	0.1688028888
433	0.1682184693
434	0.1676851173
435	0.1671386469
436	0.1666374689
437	0.1660616083
438	0.1654530803
439	0.1649336443
440	0.1643711838
441	0.1637744266
442	0.1631928395
443	0.1626419518
444	0.1619738338
445	0.1613524199
446	0.160666409
447	0.160107436
448	0.1595988654
449	0.1591508598
450	0.1586490587
451	0.1580898396
452	0.1575325905
453	0.157030138
454	0.1564003646
455	0.1559949268
456	0.1554952552
457	0.1550609659
458	0.1545544132
459	0.154026698
460	0.1534870656
461	0.1528954818
462	0.1523900534
463	0.1519240232
464	0.1514212443
465	0.1509292419
466	0.1504561558
467	0.1500674178
468	0.1495412171
469	0.149068485
470	0.1486070635
471	0.1480857869
472	0.1476054807
473	0.1471457049
474	0.1465828957
475	0.1460292127
476	0.1455369683
477	0.1451206131
478	0.1447662678
479	0.1442946483
480	0.1438411328
481	0.1433186501
482	0.1428994043
483	0.1425128308
484	0.1420704052
485	0.1416738067
486	0.1412446038
487	0.1407902559
488	0.1403835027
489	0.1399986412
490	0.1394842609
491	0.1390312064
492	0.1386421101
493	0.1381548266
494	0.137658923
495	0.1371330806
496	0.1366544321
497	0.1362173061
498	0.1357412829
499	0.1353321895
500	0.1348771054
501	0.1343092983
502	0.133853178
503	0.1334499038
504	0.1330177053
505	0.1325867203
506	0.1321534579
507	0.1317861207
508	0.1313793487
509	0.1309592072
510	0.1306008772
511	0.1301952464
512	0.1298504742
513	0.1294695681
514	0.1290227909
515	0.1287106666
516	0.1282696604
517	0.1278032122
518	0.1274491545
519	0.1269986427
520	0.1266079838
521	0.1262620205
522	0.1258499291
523	0.1254546658
524	0.1250404651
525	0.1246353535
526	0.1241988176
527	0.1238178263
528	0.1233978731
529	0.1230410421
530	0.1226653835
531	0.1224040595
532	0.1219757845
533	0.1216188671
534	0.1212077521
535	0.1208019459
536	0.1204433582
537	0.1200629698
538	0.1197175985
539	0.1193325657
540	0.1189543678
541	0.1185583859
542	0.11824393
543	0.1178259971
544	0.1174978046
545	0.1171583801
546	0.1167624922
547	0.1163119321
548	0.115929226
549	0.1155882383
550	0.1152623735
551	0.1148920485
552	0.114586926
553	0.1142028019
554	0.1138812263
555	0.113538803
556	0.1132045828
557	0.1128505271
558	0.1124925861
559	0.1121465639
560	0.1118554863
561	0.1115219742
562	0.1112366341
563	0.1109057615
564	0.1106036144
565	0.1102825429
566	0.1098813576
567	0.1096241629
568	0.1092613518
569	0.108956558
570	0.1085961724
571	0.1082447543
572	0.1079585492
573	0.1075964758
574	0.1072795217
575	0.1070344947
576	0.1067219334
577	0.1064152214
578	0.1061123957
579	0.1057880111
580	0.1054544661
581	0.1051521533
582	0.1048179671
583	0.1045911079
584	0.1042663317
585	0.1039348747
586	0.1036028291
587	0.1032966714
588	0.1029731032
589	0.1026801028
590	0.102494916
591	0.1022068472
592	0.1018904418
593	0.101634199
594	0.1013330884
595	0.1010562179
596	0.1007477022
597	0.1005064644
598	0.1002471582
599	0.09993067283
600	0.0996870078
601	0.09938233819
602	0.09913299768
603	0.09884753023
604	0.09855899878
605	0.09829069141
606	0.09805455462
607	0.09777782911
608	0.09744795795
609	0.09716895395
610	0.09689005002
611	0.09657431988
612	0.09630459755
613	0.09604749003
614	0.0957656364
615	0.09548428197
616	0.0951862008
617	0.09492606331
618	0.09466389548
619	0.09438523561
620	0.09413036865
621	0.0938606951
622	0.09357304905
623	0.09328346015
624	0.09306906648
625	0.09274078967
626	0.09243338494
627	0.09218857405
628	0.09189004357
629	0.09166524688
630	0.09139576831
631	0.0911632214
632	0.09088385086
633	0.09061774804
634	0.09034283958
635	0.09009721628
636	0.08984486102
637	0.08958111328
638	0.08932603791
639	0.08909552231
640	0.08884738171
641	0.08858847418
642	0.08833396633
643	0.08811152511
644	0.08785195026
645	0.08759750364
646	0.08734220409
647	0.08711452355
648	0.08688451842
649	0.08664287972
650	0.08643718561
651	0.08621350287
652	0.08597559181
653	0.08574616029
654	0.08551878591
655	0.08529908758
656	0.08507167996
657	0.08484365454
658	0.08461242405
659	0.08440228904
660	0.08418535897
661	0.08397108668
662	0.08374034922
663	0.08353815
664	0.08335620408
665	0.0831167023
666	0.08290216633
667	0.08276869137
668	0.08253594465
669	0.08234913388
670	0.08211497973
671	0.08190274242
672	0.08169559731
673	0.08146933798
674	0.08128151264
675	0.0810765405
676	0.08087120887
677	0.0806372894
678	0.08039747685
679	0.08022087905
680	0.08000316241
681	0.07981272021
682	0.07957830498
683	0.07934311819
684	0.07912600924
685	0.07895617749
686	0.07872909566
687	0.07855345484
688	0.07834046286
689	0.07813259837
690	0.07798224687
691	0.07780056463
692	0.07756540704
693	0.07736227655
694	0.07720967387
695	0.07705860361
696	0.07684981669
697	0.0766668383
698	0.07646118891
699	0.0762479977
700	0.07604233337
701	0.07582486029
702	0.07561006878
703	0.07545873082
704	0.07528701542
705	0.07509571599
706	0.07488118616
707	0.07467513757
708	0.07450956706
709	0.07435109008
710	0.07417699201
711	0.07399999251
712	0.07381795399
713	0.07362763444
714	0.07344844777
715	0.07331767578
716	0.07313281026
717	0.07292016372
718	0.07270337526
719	0.07251312101
720	0.07234262732
721	0.07216820493
722	0.07201220703
723	0.07184352985
724	0.07164495108
725	0.07145149518
726	0.07128547277
727	0.07111644519
728	0.07094322986
729	0.0707674839
730	0.07059784828
731	0.07043427109
732	0.07028188245
733	0.07008864781
734	0.06992244184
735	0.06975686268
736	0.06959848038
737	0.06942383508
738	0.06924531306
739	0.06909538757
740	0.06892183111
741	0.06876590946
742	0.06861665933
743	0.06845814866
744	0.06829860074
745	0.06812784712
746	0.06799960447
747	0.06787180849
748	0.06772060161
749	0.06756119807
750	0.06740219229
751	0.06722347469
752	0.0670678275
753	0.06692335444
754	0.06676171942
755	0.06657892859
756	0.06640117707
757	0.06626156479
758	0.06611468824
759	0.06594621975
760	0.06580889111
761	0.06568098582
762	0.06554900148
763	0.06537952124
764	0.0652268747
765	0.0650856776
766	0.06492873564
767	0.06478243135
768	0.0646415113
769	0.06449169088
770	0.06435032451
771	0.06422162929
772	0.06408849771
773	0.06393518373
774	0.06378240985
775	0.06364053996
776	0.06347932831
777	0.06335882533
778	0.06321337963
779	0.06306937205
780	0.0629347135
781	0.06278948229
782	0.06263849204
783	0.06249750959
784	0.06235053492
785	0.06221701346
786	0.0620975942
787	0.06196143611
788	0.06189207029
789	0.06177437614
790	0.06164102248
791	0.06149449298
792	0.06135790151
793	0.0612330704
794	0.06109564589
795	0.06095057081
796	0.06082258178
797	0.06068379012
798	0.06055371979
799	0.06044110064
